park_name,state,region,latitude,longitude
Acadia National Park,Maine,Northeast,44.32307,-68.25725
Arches National Park,Utah,Southwest,38.72513,-109.59961
Badlands National Park,South Dakota,Central,43.76441,-102.03235
Big Bend National Park,Texas,South,29.26285,-103.27111
Biscayne National Park,Florida,South,25.51681,-80.29227
Black Canyon of the Gunnison National Park,Colorado,Central,38.56582,-107.70393
Bryce Canyon National Park,Utah,Southwest,37.58974,-112.1843
Canyonlands National Park,Utah,Southwest,38.26993,-109.85866
Capitol Reef National Park,Utah,Southwest,38.16393,-111.17306
Carlsbad Caverns National Park,New Mexico,Southwest,32.15059,-104.48931
Channel Islands National Park,California,West,33.94815,-119.63706
Congaree National Park,South Carolina,Southeast,33.84821,-80.84902
Congaree National Park Wilderness,South Carolina,Southeast,33.81969,-80.7879
Crater Lake National Park,Oregon,Northwest,42.90611,-122.12864
Cuyahoga Valley National Park,Ohio,Northeast,41.24138,-81.55066
Death Valley National Park,California,West,36.43541,-117.05902
Denali National Park,Alaska,Northwest,63.67531,-149.50712
Dry Tortugas National Park,Florida,South,24.62723,-82.87242
Everglades National Park,Florida,South,25.33612,-80.84666
Fort Hunt National Park,Virginia,South,38.71368,-77.06681
Fort Pickens National Park,Florida,South,30.31901,-87.25116
Gateway Arch National Park,Missouri,Other,38.6292,-90.1843
Glacier Bay National Park,Alaska,Northwest,58.45584,-135.85958
Glacier National Park,Montana,Northwest,48.6793,-113.73078
Grand Canyon National Park,Arizona,Southwest,36.12256,-112.09609
Grand Teton National Park,Wyoming,Northwest,43.75219,-110.70073
Great Basin National Park,Nevada,West,38.98291,-114.26146
Great Sand Dunes National Park and Preserve,Colorado,Central,37.76316,-105.50241
Great Smoky Mountains National Park,Tennessee,South,35.61879,-83.49371
Guadalupe Mountains National Park,Texas,South,31.91243,-104.82407
Haleakala National Park,Maui,Other,20.70965,-156.20883
Hawaii Volcanoes National Park,Hawaii,Pacific,19.37578,-155.2739
Hot Springs National Park,Arkansas,South,34.51866,-93.05024
Indiana Dunes National Park,Indiana,Other,41.63344,-87.1329
Isle Royale National Park,Michigan,Northeast,47.93101,-88.98691
Joshua Tree National Park,California,West,33.9898,-116.08583
Katmai National Park,Alaska,Northwest,58.55806,-155.77792
Kenai Fjords National Park,Alaska,Northwest,60.18865,-149.63128
Kings Canyon National Park,California,West,36.81386,-118.66532
Lassen Volcanic National Park,California,West,40.48415,-121.42851
Mammoth Cave National Park,Kentucky,South,37.19706,-86.13017
Mesa Verde National Park,Colorado,Central,37.22275,-108.47624
Mount Rainier National Park,Washington,Northwest,46.84715,-121.7146
North Cascades National Park,Washington,Northwest,48.5964,-121.11016
Olympic National Park,Washington,Northwest,47.83966,-123.61938
Petrified Forest National Park,Arizona,Southwest,34.94254,-109.80632
Pinnacles National Park,California,West,36.48677,-121.18495
Redwood National Park,California,West,41.39291,-124.03228
Rocky Mountain National Park,Colorado,Central,40.33275,-105.65854
Saguaro National Park,Arizona,Southwest,32.23959,-110.86879
Sequoia National Park,California,West,36.53711,-118.68975
Shenandoah National Park,Virginia,South,38.52239,-78.43448
Theodore Roosevelt National Park,North Dakota,Central,47.04205,-103.44003
Voyageurs National Park,Minnesota,Other,48.4564,-92.89603
Wind Cave National Park,South Dakota,Central,43.57263,-103.46646
Wolf Trap National Park for the Performing Arts,Virginia,South,38.93672,-77.26292
Yellowstone National Park,Wyoming,Northwest,44.66709,-110.62185
Yosemite National Park,California,West,37.78325,-119.54757
Zion National Park,Utah,Southwest,37.27343,-112.99114
