park_name,state,region,trail_name,distance_miles,elevation_gain_ft,difficulty,latitude,longitude
Acadia National Park,Maine,Northeast,A. Murray Young Path via Canon Brook  and Dorr South Ridge Trail,4.7,1213,Expert,44.34815,-68.20223
Acadia National Park,Maine,Northeast,Acadia Carriage Road from Bar Harbor to Jordan Pond,25.3,1738,Moderate,44.39098,-68.20664
Acadia National Park,Maine,Northeast,Acadia East Trail,1.0,374,Easy,44.35016,-68.054
Acadia National Park,Maine,Northeast,Acadia Long Pond Loop Trail,4.9,761,Moderate,44.3002,-68.34999
Acadia National Park,Maine,Northeast,Acadia Mountain and Man O War Trail,2.5,682,Moderate,44.3219,-68.3327
Acadia National Park,Maine,Northeast,Acadia Mountain and St. Sauveur Mountain Trail Loop,3.5,1167,Hard,44.32162,-68.33279
Acadia National Park,Maine,Northeast,Acadia Park Loop Road,24.5,2047,Easy,44.40949,-68.24721
Acadia National Park,Maine,Northeast,Alder Path Trail,1.3,95,Easy,44.34438,-68.05612
Acadia National Park,Maine,Northeast,Alder Trail to The Anvil,2.4,511,Easy,44.35004,-68.05398
Acadia National Park,Maine,Northeast,Alder and Anvil Trails Loop,2.2,492,Moderate,44.33882,-68.04581
Acadia National Park,Maine,Northeast,Around The Mountain Loop Trail,15.3,1148,Hard,44.32013,-68.25334
Acadia National Park,Maine,Northeast,Asticou and Jordan Pond Path,2.0,193,Easy,44.32026,-68.25527
Acadia National Park,Maine,Northeast,Aunt Betty Loop,5.9,465,Moderate,44.37815,-68.25278
Acadia National Park,Maine,Northeast,Bald Peak Trail,2.3,725,Moderate,44.32583,-68.2912
Acadia National Park,Maine,Northeast,Bar Island Trail,1.8,170,Easy,44.3921,-68.21009
Acadia National Park,Maine,Northeast,Bass Harbor Head Light Trail,0.2,32,Moderate,44.22251,-68.33698
Acadia National Park,Maine,Northeast,Beachcroft Path Trail,2.1,951,Moderate,44.35841,-68.20551
Acadia National Park,Maine,Northeast,Beachcroft Path and Champlain North Ridge Trail,3.0,1000,Moderate,44.35911,-68.20595
Acadia National Park,Maine,Northeast,Beech Cliff  Ladder and Canada Cliff Loop,1.6,488,Moderate,44.31496,-68.33658
Acadia National Park,Maine,Northeast,Beech Cliff Trail via Beech Cliff Loop,1.4,547,Moderate,44.31527,-68.34355
Acadia National Park,Maine,Northeast,Beech Mountain Loop Trail,1.2,347,Moderate,44.31514,-68.34318
Acadia National Park,Maine,Northeast,Beech Mountain West Ridge Trail,1.8,761,Moderate,44.30021,-68.3498
Acadia National Park,Maine,Northeast,Beech Mountain West Ridge and South Ridge Trails Loop,2.5,767,Moderate,44.30025,-68.34985
Acadia National Park,Maine,Northeast,Beech Mountain and Valley Loop,2.3,479,Moderate,44.31519,-68.34331
Acadia National Park,Maine,Northeast,"Beehive, Gorham Mountain and Ocean Path Loop",3.5,784,Hard,44.33007,-68.18421
Acadia National Park,Maine,Northeast,"Beehive, The Bowl, and Gorham Mountain",2.4,705,Moderate,44.33165,-68.1853
Acadia National Park,Maine,Northeast,"Beehive, the Bowl, Gorham Mountain, Ocean Drive Loop",6.3,1023,Hard,44.32984,-68.18427
Acadia National Park,Maine,Northeast,Bernard Mountain Loop Trail,4.1,1640,Expert,44.29241,-68.3869
Acadia National Park,Maine,Northeast,Bernard Mountain Trail,3.1,1000,Moderate,44.29508,-68.36318
Acadia National Park,Maine,Northeast,Bernard Mountain: West Ledge Trail,1.8,764,Moderate,44.29215,-68.38707
Acadia National Park,Maine,Northeast,Birch Harbor Mountain Bike Path,5.8,518,Easy,44.37799,-68.03679
Acadia National Park,Maine,Northeast,Birch Spring Trail,5.0,1328,Hard,44.32044,-68.25414
Acadia National Park,Maine,Northeast,Bowditch and Long Pond Trails via Duck Harbor Trail,8.8,1099,Hard,44.0742,-68.63643
Acadia National Park,Maine,Northeast,"Bowl, Beehive, Chaplain South Ridge and The Precipice Trail",5.5,2135,Moderate,44.33154,-68.18515
Acadia National Park,Maine,Northeast,Bubble Divide and Sargent East Cliffs Trail Loop,3.8,1597,Moderate,44.34116,-68.25029
Acadia National Park,Maine,Northeast,"Bubble Divide, Sargent East Cliffs, Penobscot Mountain Trail",5.3,2103,Moderate,44.34117,-68.25024
Acadia National Park,Maine,Northeast,Bubble Pond Carriage Trail,5.4,314,Moderate,44.34984,-68.24137
Acadia National Park,Maine,Northeast,Bubbles Divide via Jordans Pond Path,4.0,951,Moderate,44.3237,-68.24989
Acadia National Park,Maine,Northeast,Bubbles Trail to Conners Nubble and Eagle Lake,4.4,1551,Moderate,44.34118,-68.25026
Acadia National Park,Maine,Northeast,Cadilac Mountain via Visitor Center,4.2,1781,Moderate,44.36194,-68.20777
Acadia National Park,Maine,Northeast,Cadillac Man via Ladder Trail,2.7,1722,Moderate,44.35187,-68.20426
Acadia National Park,Maine,Northeast,Cadillac Mountain North Ridge and Gorge Path Loop,4.8,1315,Hard,44.3728,-68.22169
Acadia National Park,Maine,Northeast,Cadillac Mountain South Ridge Trail Loop,7.5,2247,Hard,44.31306,-68.21502
Acadia National Park,Maine,Northeast,Cadillac Mountain West Face Trail,3.1,1309,Hard,44.34967,-68.2413
Acadia National Park,Maine,Northeast,Cadillac North Ridge Trail,4.0,1118,Moderate,44.37854,-68.22954
Acadia National Park,Maine,Northeast,Cadillac North Ridge Trail to Cadilac South Ridge Trail,5.3,1204,Moderate,44.37859,-68.22942
Acadia National Park,Maine,Northeast,Cadillac North Ridge Trail to South Ridge Trail,6.0,1253,Moderate,44.3786,-68.22955
Acadia National Park,Maine,Northeast,Cadillac Summit Loop Trail,0.3,45,Easy,44.3528,-68.22459
Acadia National Park,Maine,Northeast,"Cannon Brook, Cadillac South Ridge and Ladder Trail",4.6,1630,Moderate,44.35166,-68.20437
Acadia National Park,Maine,Northeast,Canon Brook Trail,3.7,961,Moderate,44.34816,-68.20218
Acadia National Park,Maine,Northeast,"Canon Brook, Cadillac South Ridge and Dorr Mountain South Ridge Trail Loop",6.0,1788,Moderate,44.34813,-68.2024
Acadia National Park,Maine,Northeast,Carriage and Around Mountain Road Loop,4.1,269,Easy,44.31224,-68.28545
Acadia National Park,Maine,Northeast,Champlain Mountain & Beehive Loop Trail,6.6,2080,Moderate,44.35871,-68.20553
Acadia National Park,Maine,Northeast,Champlain North Ridge Trail,1.9,833,Moderate,44.36312,-68.19335
